"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"6 093 résultats trouvés pour recycling AND plastic AND '3D printing'";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"394";"Centralized ash recycling and filtering system for 3D printing";"ZHAO YANCHEN 
LI JUN 
ZHAO WENDI 
YANG DONGHUI 
LYU JIASHU";"XI AN BRIGHT LASER TECH CO LTD";"CN220294382U";"2023-06-30";"B01D50/60";"";"2024-01-05";"2024-01-05";"089344553";
"395";"Waste recovery device for 3D printing through engineering plastics";"LI BENKE 
LIU LI";"SUZHOU ZHUOJU NEW MATERIAL TECH CO LTD";"CN118219561A";"2024-03-08";"B08B3/10 
B08B3/14 
B29B17/00 
B29B17/02 
B29B17/04 
B29C64/357 
B33Y40/00 
F26B3/30";"B08B3/102 (CN) 
B08B3/14 (CN) 
B29B17/00 (CN) 
B29B17/02 (CN) 
B29B17/04 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
F26B3/30 (CN) 
B29B2017/0203 (CN) 
B29B2017/0224 (CN) 
B29B2017/0476 (CN) 
Y02W30/52 (EP) 
Y02W30/62 (EP)";"2024-06-21";"2024-06-21";"091507038";
"396";"ESPACE LIBRE INTERNE D'IMPRESSION 3D";"MARK GREGORY [US]";"MARKFORGED INC [US]";"WO2019079704A2 
WO2019079704A3";"2017-10-20";"B29C64/165 
B33Y10/00 
B33Y70/00";"B22F10/14 (EP,US) 
B22F10/43 (EP,US) 
B22F10/73 (EP,US) 
B29C64/165 (EP,US) 
B29C64/40 (EP) 
B33Y10/00 (EP) 
B22F10/18 (EP,US) 
B22F10/47 (EP,US) 
B22F10/60 (EP,US) 
B22F2003/1042 (EP) 
B22F2003/248 (EP) 
B22F2999/00 (EP) 
B22F3/1021 (EP) 
Y02P10/25 (EP) 
B22F2999/00, B22F10/14, ADD (EP,US)      ";"2019-04-25 
2019-05-31";"2019-04-25";"066174230";
"397";"Powder supply device for metal 3D printing";"ZHENG HAO";"ZHENG HAO";"CN111940734A";"2020-07-28";"B22F3/105 
B33Y30/00 
B33Y40/00";"B33Y30/00 (CN) 
B33Y40/00 (CN)";"2020-11-17";"2020-11-17";"073338257";
"398";"Plastic garbage storage method";"JIANG XIANGANG 
WU YANGZHONG 
WANG MENG 
CHENG HAIGUANG";"UNIV SICHUAN AGRICULTURAL";"CN114458015A 
CN114458015B";"2022-02-10";"B33Y70/10 
C04B18/18 
C04B20/02 
C04B28/00 
E04C3/20 
E04G21/02 
E04G21/04 
B29C64/00";"B33Y70/10 (CN) 
C04B18/18 (CN) 
C04B20/026 (CN) 
C04B28/00 (CN) 
E04C3/20 (CN) 
E04G21/02 (CN) 
E04G21/04 (CN) 
C04B2111/00181 (CN) 
Y02W30/91 (EP) 
C04B20/026, C04B18/18, INV (CN)       
C04B28/00, C04B18/18, C04B14/06, INV (CN)      ";"2022-05-10 
2023-04-07";"2022-05-10";"081412878";
"399";"Efficient gas-liquid cyclone separator based on 3D printing";"XU JING 
YIN PINGHUA 
XIANG FEIFEI 
CHEN JIAN 
CAI YUE 
HUANG DEHUA 
LU CUNHAO 
HAN QINGZHEN 
SHEN JING";"UNIV YANGZHOU 
JIANGSU LITIAN P&C TERMINAL CO LTD";"CN115090039A";"2022-06-28";"B01D45/02 
B01D45/16 
B01D46/62 
B01D50/20";"B01D45/02 (CN) 
B01D45/16 (CN) 
B01D46/62 (CN) 
B01D50/20 (CN) 
B01D2258/02 (CN)";"2022-09-23";"2022-09-23";"083294960";
"400";"SYSTEMS AND METHODS FOR HIGH THROUGHPUT VOLUMETRIC THREE-DIMENSIONAL (3D) PRINTING";"ARNDT EMILY M [US] 
SANDERS SAMUEL N [US]";"QUADRATIC 3D INC [US]";"US2024198583A1";"2020-03-31";"B29C64/129 
B29C64/255 
B29C64/264 
B29C64/321 
B29C64/357 
B33Y10/00 
B33Y30/00 
B33Y40/00 
B33Y70/00";"B29C64/124 (EP) 
B29C64/129 (EP,US) 
B29C64/255 (EP,US) 
B29C64/264 (EP,US) 
B29C64/321 (EP,US) 
B29C64/357 (EP,US) 
B33Y10/00 (EP,US) 
B33Y30/00 (EP,US) 
B33Y40/00 (EP,US) 
B33Y70/00 (EP,US)";"2024-06-20";"2024-06-20";"091474004";
"401";"3 IRREGULAR SHAPED MOLD AND METHOD FOR MANUFACTURING THE IRREGULAR SHAPED MOLD USING THREE DIMENSIONAL PRINTER";"LEE HYUN JOO 
LEE GI RYUN 
CHOI HONG KWAN";"HYUNDAI ENG & CONSTRUCT CO LTD [KR] 
3D FACTORY CO LTD [KR]";"KR20220102532A";"2021-01-11";"B28B7/34 
B29C33/38 
B29C33/40 
B29C64/165 
B29C70/06 
B33Y70/10 
B33Y80/00 
G06T17/00 
B29K55/02 
B29L31/00";"B28B7/348 (KR) 
B29B17/02 (KR) 
B29B17/04 (KR) 
B29C64/112 (KR) 
B29C64/165 (KR) 
B29C64/209 (KR) 
B29C64/386 (KR) 
B29C70/06 (KR) 
B33Y10/00 (KR) 
B33Y30/00 (KR) 
B33Y50/00 (KR) 
B33Y70/10 (KR) 
B33Y80/00 (KR) 
B29B2017/0468 (KR) 
B29C33/3842 (KR) 
B29C33/40 (KR) 
B29L2031/757 (KR) 
G06T17/00 (KR) 
Y02W30/20 (KR) 
Y02W30/52 (KR) 
Y02W30/62 (EP,KR)";"2022-07-20";"2022-07-20";"082609371";
"402";"Feeding barrel for 3D printing consumable recoverer";"KONG ZHIHONG";"KONG ZHIHONG";"CN211591335U";"2019-09-16";"B29C64/321 
B29C64/357 
B33Y40/00";"";"2020-09-29";"2020-09-29";"072575548";
"403";"3D printer continuous printing system with automatic discharging and replacing functions";"ZHOU HONGGUANG 
REN-LONG YINGTAI 
WU JIE 
CHEN WENDU 
HAN CHANG 
LIU HU 
LIU XINYU 
LIN ZHICHANG";"WUHAN JIUZHOU CREATOR TECH CO LTD";"CN105563838A 
CN105563838B";"2016-02-23";"B29C67/00 
B22F3/115 
B33Y30/00 
B29C64/30";"B22F3/115 (CN)";"2016-05-11 
2017-12-22";"2016-05-11";"055874732";
"404";"Modified polylactic acid 3D printing material based on ABS recycled materials";"BAI PEIKANG 
SONG PING 
LI YUXIN 
ZHAO ZHANYONG";"UNIV NORTH CHINA";"CN106009569A 
CN106009569B";"2016-07-08";"B33Y70/00 
C08L51/00 
C08L53/02 
C08L55/02 
C08L67/04";"B33Y70/00 (CN) 
C08L67/04 (CN) 
C08L2205/025 (CN) 
C08L2205/035 (CN) 
C08L2205/08 (CN) 
C08L67/04, C08L55/02, C08L53/02, C08L51/006, INV (CN)       
C08L67/04, C08L55/02, C08L53/025, C08L51/006, INV (CN)       
C08L67/04, C08L55/02, INV (CN)      ";"2016-10-12 
2018-06-15";"2016-10-12";"057108852";
"405";"Powder return pipeline device for metal 3D printing equipment";"YU HAO 
CAO XI'AN 
WANG NANXING 
WU YAOJUN 
ZHAO YUFAN 
WANG HU 
WANG PENG";"XIAN WUSHA MACHINERY EQUIPMENT CO LTD";"CN117840464A";"2024-03-07";"B22F1/14 
B22F10/73 
B22F12/00 
B22F12/70 
B33Y30/00";"B22F1/14 (CN) 
B22F10/73 (CN) 
B22F12/22 (CN) 
B22F12/70 (CN) 
B33Y30/00 (CN) 
Y02P10/25 (EP)";"2024-04-09";"2024-04-09";"090530538";
"406";"Method for preparing polyurethane coating activated waste rubber powder for 3D printing";"WANG XINZHI 
ZHANG KAI 
ZHENG HAIDI";"ANHUI SHENGYUAN RUBBER & PLASTIC TECH CO LTD";"CN107383244A";"2017-06-06";"C08C19/04 
C08G18/64 
C08G18/76";"C08C19/04 (CN) 
C08G18/64 (CN) 
C08G18/7614 (CN) 
C08G18/7671 (CN)";"2017-11-24";"2017-11-24";"060332107";
"407";"SILICONE COMPOSITIONS FOR PRODUCING ELASTOMERIC MOLDED PARTS BY MEANS OF BALLISTIC METHODS";"ACHENBACH FRANK [DE] 
BRENNENSTUHL WERNER [DE] 
DORMEIER SIEGFRIED [DE] 
SELBERTINGER ERNST [DE]";"WACKER CHEMIE AG [DE]";"US10400071B2 
US2018066115A1";"2015-11-09";"B33Y70/00 
C08G77/20 
C08G77/38 
C08J3/24 
C08K3/36 
C08L83/04 
B29C64/112 
B29K83/00 
C08G77/12 
C08G77/14";"B29C64/10 (KR) 
B33Y10/00 (KR) 
B33Y70/10 (EP,KR,US) 
C08G77/20 (EP,US) 
C08G77/38 (US) 
C08J3/24 (KR,US) 
C08J3/28 (KR) 
C08K3/36 (EP,KR,US) 
C08K5/1515 (KR) 
C08K5/54 (EP,US) 
C08L83/04 (EP,KR,US) 
C08L83/14 (KR) 
B29C64/112 (US) 
B29K2083/00 (US) 
C08G77/12 (EP,US) 
C08G77/14 (EP,US) 
C08J2383/07 (US) 
C08K3/36, C08L83/04, INV (EP,US)       
C08L83/04, C08L83/00, INV (EP,US)      ";"2018-03-08 
2019-09-03";"2017-05-18";"057288396";
"408";"SYSTÈME ET PROCÉDÉ D'IMPRESSION 3D HYDRAULIQUE";"";"SPRINTRAY INC [US]";"WO2025136836A1";"2023-12-18";"B29C64/25 
B29C64/321 
B22F10/40 
B22F12/30 
B29C64/40";"B29C64/25 (EP) 
B29C64/321 (EP) 
B22F10/40 (EP) 
B22F12/30 (EP) 
B29C64/40 (EP)";"2025-06-26";"2025-06-26";"096138928";
"409";"PROCÉDÉ ET APPAREIL POUR IMPRESSION 3D";"LANDA BENZION [IL] 
SALALHA WAEL [IL] 
SHVARTS DMITRY [IL] 
SHACHAK YOSEF [IL] 
MERON ALBERT [IL] 
VALDMAN YAAKOV [IL] 
RABINOVICH VIACHESLAV [IL] 
AHARONI ASSAF [IL] 
COHEN IDAN [IL] 
ZINOV DARYA [IL]";"LANDA LABS 2012 LTD [IL]";"WO2025057054A1";"2023-09-11";"B22F10/10 
B22F10/43 
B22F10/50 
B22F12/33 
B22F12/86 
B22F3/02 
B22F3/03 
B29C64/165 
B29C64/205 
B29C64/218 
B29C64/223 
B29C64/236 
B29C64/245 
B29C64/336 
B29C64/393 
B33Y10/00 
B33Y30/00 
B33Y50/02";"B22F10/10 (EP) 
B29C64/165 (EP) 
B29C64/205 (EP) 
B29C64/218 (EP) 
B29C64/223 (EP) 
B29C64/236 (EP) 
B29C64/245 (EP) 
B29C64/336 (EP) 
B29C64/393 (EP) 
B33Y10/00 (EP) 
B33Y30/00 (EP) 
B33Y50/02 (EP) 
B22F12/86 (EP)";"2025-03-20";"2025-03-20";"092931782";
"410";"Feeding device for 3D printing metal powder production";"TANG YUEYUE 
JIANG BAOLIN 
XU RONGYU 
YE GUOCHEN 
ZHANG KE 
WEI FANG 
WANG XUANXUAN 
ZHANG BO 
YU YANG 
ZHANG WEI";"JIANGSU VILORY ADVANCED MATERIALS TECH CO LTD";"CN113231639A";"2021-05-18";"B22F9/04 
B33Y70/00";"B22F9/04 (CN) 
B33Y70/00 (CN) 
B22F2009/045 (CN)";"2021-08-10";"2021-08-10";"077134987";
"411";"SELECTING A DEPOWDERING PROCESS FOR 3D PRINTING";"VAN BROCKLIN ANDREW LESTER [US] 
MOSS CALEB ANDREW [US]";"HEWLETT PACKARD DEVELOPMENT CO [US]";"US2021237357A1";"2018-10-20";"B29C64/35 
B29C64/393";"B08B7/00 (EP) 
B08B7/02 (EP) 
B22F10/68 (EP) 
B22F10/73 (EP) 
B29C64/35 (EP,US) 
B29C64/393 (EP,US) 
B33Y10/00 (EP) 
B33Y40/20 (EP) 
B33Y50/02 (EP) 
B22F10/14 (EP) 
B22F2999/00 (EP) 
B29C64/153 (EP) 
B29C64/165 (EP) 
B33Y40/00 (US) 
B33Y50/02 (US) 
B22F2999/00, B22F10/68, B22F10/80, ADD (EP)       
B22F2999/00, B22F10/68, B22F2202/01, B22F2201/20, B22F2201/50, ADD (EP)      ";"2021-08-05";"2020-04-23";"070283960";
"412";"Rapid full-color 3D printer";"LI WENXIN 
LING WENKAI 
DONG BITING 
SUN GUOQIN";"GANSU SHUNYU NEW MATERIAL TECH CO LTD 
GANSU BO LI JIANG 3D PRINTING TECH CO LTD";"CN208855063U";"2018-09-29";"B29C64/35 
B33Y40/00";"";"2019-05-14";"2019-05-14";"066419910";
"413";"Graphene printing material";"QIN YANGHUA 
HUANG LIJIE";"GUANGXI ZHUMENG SANTI TECH CO LTD";"CN106589864A";"2016-11-17";"B33Y70/00 
C08B31/00 
C08K13/02 
C08K3/04 
C08K3/32 
C08K5/11 
C08L101/00 
C08L3/04 
C08L67/04";"B33Y70/00 (CN) 
C08B31/003 (CN) 
C08L67/04 (CN) 
C08L2205/035 (CN) 
C08L2207/20 (CN) 
C08L67/04, C08L101/00, C08L3/04, C08K13/02, C08K3/04, C08K2003/324, C08K5/11, INV (CN)      ";"2017-04-26";"2017-04-26";"058591515";
"414";"Intelligent 3D printer based on Internet of Things";"QI JINCAI";"SHENZHEN XIAOKONG COMMUNICATION TECH CO LTD";"CN106825564A";"2017-01-04";"B22F3/105 
B33Y30/00 
B33Y40/00";"B22F10/00 (CN) 
B22F10/73 (EP,CN,US) 
B22F12/37 (EP,CN,US) 
B22F12/52 (EP,CN,US) 
B22F12/53 (EP,CN,US) 
B22F12/57 (EP,CN,US) 
B22F3/003 (CN) 
B33Y30/00 (CN) 
B33Y40/00 (CN) 
Y02P10/25 (EP)";"2017-06-13";"2017-06-13";"059116921";
"415";"3D PRINTING SYSTEMS AND METHODS FOR FABRICATING INJECTION MOLDS";"STUMP RICHARD [US]";"FATHOM INC [US] 
KEMEERA INC [US] 
KEMEERA LLC";"US11048829B2 
US2014277664A1";"2013-03-15";"B29C67/00 
G06F17/50 
B29C33/38 
G06F30/00 
G06F113/22";"B29C33/3842 (EP,US) 
G06F30/00 (EP,US) 
G06F2113/22 (EP,US)";"2014-09-18 
2021-06-29";"2014-09-18";"051531411";
"416";"A waste recycling regenerating unit for 3D printer";"LI LANSONG 
WEI HANXIAO 
YUN ZHUTIAN";"LI LANSONG 
WEI HANXIAO 
YUN ZHUTIAN";"CN208035397U";"2018-05-31";"B29C64/118 
B29C64/357 
B33Y40/00";"";"2018-11-02";"2018-11-02";"063928937";
"417";"Garbage crushing device for 3D printing";"ZHOU XIANWEI";"FOSHAN JISU 3D TECH CO LTD";"CN213227147U";"2020-09-02";"B29B17/00 
B29B17/04";"Y02W30/52 (EP) 
Y02W30/62 (EP)";"2021-05-18";"2021-05-18";"075903860";
"418";"Graphene three-dimensional printing material";"QIN YANGRONG";"GUANGXI ZHUMENG THREE BODY TECH CO LTD";"CN106633720A";"2016-11-17";"B33Y70/00 
C08B31/00 
C08K13/02 
C08K3/04 
C08K3/26 
C08K3/38 
C08K5/11 
C08L101/00 
C08L3/04 
C08L67/04";"B33Y70/00 (CN) 
C08B31/003 (CN) 
C08L67/04 (CN) 
C08K2201/014 (CN) 
C08L2201/08 (CN) 
C08L2205/035 (CN) 
C08L67/04, C08L101/00, C08L3/04, C08K13/02, C08K3/04, C08K5/11, C08K3/38, C08K2003/262, INV (CN)      ";"2017-05-10";"2017-05-10";"058808168";
"419";"METHOD FOR PRODUCING A DECORATIVE PART OF A MOTOR VEHICLE";"VIDAL SOPHIE [FR] 
BRIZIN JEROME [FR] 
VIOT FREDERIC [FR]";"PLASTIC OMNIUM CIE [FR]";"US2018036766A1";"2014-12-19";"B05D1/32 
B05D7/02";"B05B13/02 (US) 
B05B13/0285 (US) 
B05D1/02 (US) 
B05D1/26 (US) 
B05D1/265 (US) 
B05D1/32 (US) 
B05D1/322 (US) 
B05D1/325 (EP,CN,KR,RU,US) 
B05D1/36 (US) 
B05D3/002 (US) 
B05D7/02 (EP,CN,KR,RU,US) 
B05D7/24 (US) 
B05D7/26 (US) 
B05D7/50 (US) 
B05D7/52 (US) 
B05D7/54 (US) 
B33Y80/00 (KR) 
C09J175/04 (KR) 
C09J177/00 (KR) 
B05D2201/02 (US) 
B05D2505/00 (US) 
C09J2301/304 (KR)";"2018-02-08";"2016-06-23";"052627435";
"420";"Metal 3D printing waste powder diffusion welding cast ingot recovery equipment and operation method thereof";"ZHANG HAO 
WANG GUILONG";"JIANGSU BOUNFEI AND SHUO WELDING TECH LIMITED COMPANY";"CN114346246A";"2022-01-08";"B22F10/73 
B22F3/03 
B22F3/14 
B22F8/00 
B33Y40/00";"Y02W30/50 (EP)";"2022-04-15";"2022-04-15";"081106372";
"421";"3D prints forming part aftertreatment platform";"CHEN KERAN";"JINING JINGDAO INTELLIGENT TECH CO LTD";"CN205736045U";"2016-06-16";"B29C37/00 
B29C67/00 
B33Y40/00";"";"2016-11-30";"2016-11-30";"057387096";
"422";"Nano diamond alkene 3D printing bone and manufacturing method thereof";"GUO LIUXI 
ZHAO QINGGUO 
XUE SHENGHUI 
YANG JINZHONG 
LIU YONGQI 
MAO HAITAO 
XUE MINGHUI 
WANG RUIRUI";"ZHENGZHOU SYNTHETIC DIAMOND";"CN105412988A 
CN105412988B";"2015-12-07";"A61L27/06 
A61L27/08 
A61L27/30 
A61L27/50 
B22F7/02";"A61L27/06 (CN) 
A61L27/08 (CN) 
A61L27/303 (CN) 
A61L27/306 (CN) 
A61L27/50 (CN) 
B22F7/004 (CN) 
A61L2400/18 (CN) 
A61L2430/02 (CN)";"2016-03-23 
2018-03-30";"2016-03-23";"055491816";
"423";"Surface cleaning device for 3D printing sand mold casting";"GUAN HUI 
YANG YONGHUI 
ZHANG JILIANG";"LUOYANG EASY 3D PRINTING TECH CO LTD";"CN213379237U";"2020-09-03";"B22D31/00";"";"2021-06-08";"2021-06-08";"076214191";
"424";"Method and Apparatus for Producing 3D Shaped Articles Using High-Performance Radiation Emitters";"SCHECK CHRISTOPH [DE] 
WEIGEL MELANIE [DE] 
FUCHS ALEXANDER FRANZ [DE]";"VOXELJET AG [DE]";"US2022402203A1";"2019-10-11";"B29C64/165 
B29C64/282 
B29C64/286 
B29C64/30 
B33Y10/00 
B33Y30/00";"B29C64/165 (EP,CN,US) 
B29C64/282 (EP,CN,US) 
B29C64/286 (US) 
B29C64/291 (EP,CN,US) 
B29C64/30 (US) 
B33Y10/00 (EP,CN,US) 
B33Y30/00 (EP,CN,US) 
Y02P10/25 (EP)";"2022-12-22";"2021-04-15";"073020019";
"425";"Waste treatment mechanism for 3D printer";"SUN HAIFENG";"TIANJIN SINGFUN 3D TECH CO LTD";"CN214872717U";"2020-12-14";"B02C18/14 
B02C23/16 
B29C48/25 
B29C64/30 
B33Y30/00";"";"2021-11-26";"2021-11-26";"078904251";
"426";"3D printable high-strength recycled concrete and preparation method thereof";"XIAO JIANZHUANG 
DING TAO 
DUAN ZHENHUA";"UNIV TONGJI";"CN111484287A";"2020-04-15";"B33Y70/10 
C04B18/08 
C04B18/14 
C04B18/16 
C04B28/04";"B33Y70/10 (CN) 
C04B14/068 (EP) 
C04B28/04 (CN) 
C04B2201/50 (CN) 
C04B2201/52 (CN) 
Y02W30/91 (EP) 
C04B28/04, C04B18/08, C04B18/146, C04B14/06, C04B14/068, C04B18/16, C04B14/14, C04B14/48, C04B2103/302, C04B14/102, C04B20/008, C04B24/383, INV (CN)      ";"2020-08-04";"2020-08-04";"071791656";
"427";"Three-dimensional printer with thermal fusion";"SCHALK WESLEY R 
ENGLISH KRIS M 
ROMAN JUSTIN M 
SWIER KEVIN E";"HEWLETT PACKARD DEVELOPMENT CO";"CN110891763A";"2017-07-28";"B29C64/153 
B29C64/329 
B29C64/357 
B33Y10/00 
B33Y40/00";"B29C64/153 (EP,US) 
B29C64/165 (EP,US) 
B29C64/329 (EP,US) 
B29C64/357 (EP,US) 
B33Y10/00 (EP) 
B33Y40/00 (EP,US) 
B33Y40/20 (EP,US) 
B33Y10/00 (US) 
B33Y30/00 (US)";"2020-03-17";"2019-01-31";"065041245";
"428";"Printing platform of 3D printer";"WANG XUEXIA";"HAINING KUCAI DIGITAL SCIENCE & TECH CO LTD";"CN105922594A 
CN105922594B";"2016-06-20";"B29C67/00 
B22F3/115 
B33Y30/00 
B33Y40/00 
B29C64/106 
B29C64/245 
B29C64/30 
B29C64/35 
B29C64/357";"B22F3/115 (CN) 
B33Y30/00 (CN) 
B33Y40/00 (CN)";"2016-09-07 
2018-09-07";"2016-09-07";"056830860";
"429";"Environment-friendly adhesive tape with natural plant aroma and used for 3D (Three Dimensional) printing and manufacturing method thereof";"GUO PENGYI 
WU JINSAN";"PONI GREENTEK CO LTD";"CN106280324A";"2015-05-14";"B33Y70/00 
C08J3/22 
C08K13/02 
C08L67/04 
C08L97/02";"";"2017-01-04";"2017-01-04";"057631975";
"430";"SUBSTRAT EN FORME 3D À BASE DE CELLULOSE COMPRENANT DES FIBRES CELLULOSIQUES ET UNE MATIÈRE CELLULOSIQUE NON FIBREUSE, PROCÉDÉS DE PRÉPARATION DE CELUI-CI ET UTILISATIONS DE CELUI-CI";"BARDET RAPHAËL [FR] 
CARTIER NOËL [FR] 
PAQUET OLIVIER [FR]";"AHLSTROM OYJ [FI]";"EP4389975A1 
EP4389975B1 
EP4389975C0";"2022-12-23";"D21J5/00";"D21J5/00 (EP)";"2024-06-26 
2025-02-26";"2024-06-26";"084602432";
"431";"Powder recycling device of 3D printing and rapid-forming machine";"XU HONG 
XIA JIANQIANG 
SONG BIN 
LI YU";"ANHUI HENGLI ADDITIVE MFG TECH CO LTD";"CN107052338A";"2017-03-22";"B22F3/105";"B22F10/00 (CN) 
B22F10/73 (EP,CN,US) 
B22F12/52 (EP,CN,US) 
B22F12/224 (EP,CN,US) 
Y02P10/25 (EP)";"2017-08-18";"2017-08-18";"059620011";
"432";"Material recovery device of 3d printer";"DAN YUFANG";"NINGBO POLYTECHNIC";"CN211641011U";"2019-12-16";"B29C64/357 
B33Y40/20";"";"2020-10-09";"2020-10-09";"072696425";
"433";"Graphene 3D (three-dimensional) print material with high impact strength";"QIN YANGHUA";"GUANGXI ZHUMENG THREE BODY TECH CO LTD";"CN106633717A";"2016-11-17";"B33Y70/00 
C08K13/02 
C08K3/04 
C08K3/26 
C08K3/38 
C08K5/12 
C08L101/00 
C08L3/04 
C08L33/04 
C08L67/04 
C08L9/00 
C08L91/00";"B33Y70/00 (CN) 
C08L67/04 (CN) 
C08L2205/035 (CN) 
C08L2205/08 (CN) 
C08L2207/20 (CN) 
C08L67/04, C08L101/00, C08L3/04, C08L33/04, C08L9/00, C08L91/00, C08K13/02, C08K3/04, C08K5/12, C08K2003/387, C08K2003/262, INV (CN)      ";"2017-05-10";"2017-05-10";"058808851";
"434";"CARBONATATION EN LIGNE ET IMPRESSION 3D DE PÂTE DE CIMENT À BASE DE SILICATE DE CALCIUM À ARCHITECTURE CELLULAIRE";"RALSTON NADIA [US] 
MOINI REZA [US] 
MAKINEN WILLIAM [US] 
GUPTA SHASHANK [US]";"UNIV PRINCETON [US]";"WO2024226563A2 
WO2024226563A3";"2023-04-24";"B22F12/70 
B33Y10/00 
C04B28/00";"B28B1/001 (EP) 
B28B11/245 (EP) 
B33Y10/00 (EP) 
B33Y30/00 (EP) 
B33Y70/00 (EP) 
B33Y80/00 (EP) 
C04B28/10 (EP) 
C04B28/188 (EP) 
C04B2111/00068 (EP) 
C04B2111/00181 (EP) 
C04B28/10, C04B40/0231, C04B2103/32, C04B2103/44, INV (EP)       
C04B28/188, C04B24/2647, C04B40/0231, C04B2103/44, INV (EP)      ";"2024-10-31 
2025-02-27";"2024-10-31";"093257420";
"435";"3D sand mold printing device capable of flexibly changing sand paving breadth and use method of 3D sand mold printing device";"LI WEIMING 
JIANG JIAN 
SHEN GUANG";"WUXI HUISITE RAPID MANUFACTURING TECH CO LTD";"CN112743042A 
CN112743042B";"2020-12-28";"B22C9/02 
B33Y10/00 
B33Y30/00 
B33Y50/02";"B22C9/02 (CN) 
B33Y10/00 (CN) 
B33Y30/00 (CN) 
B33Y50/02 (CN)";"2021-05-04 
2022-11-15";"2021-05-04";"075646225";
"436";"Low-cost black FDM printing filament prepared by utilizing recycled tobacco film masterbatch as well as preparation method and application of printing filament";"WU QIONG 
WANG BAOLING 
LI JINGDONG 
LI WEILI 
JU HAIDONG 
LIU KONG 
CUI YAN";"UNIV KUNMING";"CN110396287A 
CN110396287B";"2019-07-25";"B33Y70/00 
B29B9/06 
B29C48/02 
B29C48/05 
C08L23/06 
C08L23/08 
C08L51/06 
C08L67/04 
C08L91/00 
B33Y70/10";"B29B9/06 (CN) 
B29C48/022 (CN) 
B29C48/05 (CN) 
B33Y70/00 (CN) 
C08L67/04 (CN) 
C08L2205/035 (CN) 
C08L2207/066 (CN) 
C08L2207/20 (CN) 
C08L67/04, C08L23/06, C08L51/06, C08L23/0853, C08L91/00, INV (CN)      ";"2019-11-01 
2022-04-29";"2019-11-01";"068325936";
"437";"Stirring and crushing unit and 3D printing waste recovery device";"YU CHENGTAO 
ZHOU ZHONGREN 
SUN YUEMEI";"UNIV JIANGSU TECHNOLOGY";"CN112171964A";"2020-08-13";"B29B17/04 
B29C64/357 
B33Y40/00";"B29B17/0412 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
B29B2017/044 (CN) 
Y02W30/52 (EP) 
Y02W30/62 (EP)";"2021-01-05";"2021-01-05";"073919238";
"438";"3D printing powder cleaning device";"ZHU XIAOTAO";"ZHENHUA ADDITIVE BEIJING INDUSTRIAL TECH CO LTD";"CN119840171A";"2025-01-23";"B29C64/35 
B33Y40/00";"B29C64/35 (CN) 
B33Y40/00 (CN)";"2025-04-18";"2025-04-18";"095359858";
"439";"3D printing powder recovery processing device";"TANG ZHANHAN 
WANG HAI";"YIJIA THREE DIMENSIONAL ADDITIVE TECH HANGZHOU CO LTD";"CN219947304U";"2022-11-21";"B22F10/73 
B29C64/357 
B33Y40/00";"";"2023-11-03";"2023-11-03";"088551754";
"440";"Material recovery device suitable for 3D printer";"HAN YUE 
SU HUIYI 
LI MENG 
YU HAIQING";"YANTAI ENGINEERING & TECH COLLEGE YANTAI TECHNICIAN COLLEGE";"CN211105676U";"2019-12-04";"B29C64/357 
B33Y40/00";"";"2020-07-28";"2020-07-28";"071698058";
"441";"3D printing machine capable of performing printing on outer surface of strip-shaped base material";"ZHANG XUEYING";"FOSHAN LANTU TECH CO LTD";"CN107718542A";"2017-10-09";"B29C64/20 
B29C64/205 
B29C64/236 
B29C64/241 
B29C64/321 
B29C64/357 
B33Y30/00 
B33Y40/00";"B33Y30/00 (CN) 
B33Y40/00 (CN)";"2018-02-23";"2018-02-23";"061209864";
